timestamp_ms,performance_score,confidence_score,stress_score,engagement_score,posture_score,openness_score,fidget_score,lean,dominant_emotion,face_stress,face_confidence,eye_contact,tone_label,pitch_mean,pitch_variance,energy,speaking_rate,pause_ratio,tone_overall
583.6501121520996,0.568,0.744,0.526,0.472,1.0,0.794,0.0,neutral,neutral,0.352,0.434,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
855.013370513916,0.443,0.47,0.526,0.374,1.0,0.467,1.0,neutral,neutral,0.352,0.434,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
886.7242336273193,0.426,0.461,0.554,0.362,1.0,0.412,1.0,neutral,neutral,0.394,0.443,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1030.282974243164,0.48,0.53,0.554,0.463,1.0,0.749,1.0,neutral,neutral,0.394,0.443,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1062.793493270874,0.499,0.554,0.554,0.498,1.0,0.868,1.0,neutral,neutral,0.394,0.443,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1093.3809280395508,0.494,0.537,0.562,0.51,1.0,0.823,1.0,neutral,neutral,0.373,0.379,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1250.871181488037,0.462,0.495,0.562,0.45,1.0,0.625,1.0,neutral,neutral,0.373,0.379,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1283.5171222686768,0.444,0.472,0.562,0.419,1.0,0.521,1.0,neutral,neutral,0.373,0.379,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1314.1803741455078,0.426,0.461,0.647,0.472,1.0,0.529,1.0,neutral,sad,0.406,0.228,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1535.935640335083,0.437,0.475,0.647,0.491,1.0,0.593,1.0,neutral,sad,0.406,0.228,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1570.4808235168457,0.415,0.445,0.647,0.451,1.0,0.459,1.0,neutral,sad,0.406,0.228,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1603.7702560424805,0.413,0.477,0.698,0.469,1.0,0.568,1.0,backward,contempt,0.549,0.336,False,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1769.2067623138428,0.412,0.476,0.698,0.467,1.0,0.563,1.0,backward,contempt,0.549,0.336,False,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1802.4170398712158,0.41,0.472,0.698,0.462,1.0,0.544,1.0,backward,contempt,0.549,0.336,False,unknown,0.0,0.0,0.0,0.0,0.0,0.0
