timestamp_ms,performance_score,confidence_score,stress_score,engagement_score,posture_score,openness_score,fidget_score,lean,dominant_emotion,face_stress,face_confidence,eye_contact,tone_label,pitch_mean,pitch_variance,energy,speaking_rate,pause_ratio,tone_overall
601.4180183410645,0.483,0.654,0.63,0.417,1.0,0.378,0.0,backward,neutral,0.411,0.276,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
897.8500366210938,0.382,0.399,0.63,0.376,1.0,0.244,1.0,backward,neutral,0.411,0.276,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
926.0697364807129,0.367,0.389,0.716,0.437,1.0,0.241,1.0,neutral,surprise,0.433,0.101,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1057.462215423584,0.372,0.408,0.716,0.433,1.0,0.227,0.908,neutral,surprise,0.433,0.101,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1085.9644412994385,0.383,0.441,0.716,0.432,1.0,0.224,0.767,neutral,surprise,0.433,0.101,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1115.9005165100098,0.397,0.464,0.694,0.425,1.0,0.228,0.675,neutral,surprise,0.409,0.124,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1257.0075988769531,0.402,0.479,0.694,0.425,1.0,0.226,0.611,neutral,surprise,0.409,0.124,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1288.7871265411377,0.408,0.494,0.694,0.425,1.0,0.226,0.548,neutral,surprise,0.409,0.124,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1317.7497386932373,0.416,0.506,0.673,0.416,1.0,0.23,0.5,neutral,surprise,0.391,0.15,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1439.9209022521973,0.411,0.492,0.673,0.414,1.0,0.224,0.555,neutral,surprise,0.391,0.15,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1467.8740501403809,0.413,0.499,0.673,0.413,1.0,0.219,0.519,neutral,surprise,0.391,0.15,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1497.650146484375,0.418,0.499,0.64,0.39,1.0,0.2,0.501,neutral,surprise,0.371,0.198,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1639.995813369751,0.413,0.487,0.64,0.387,1.0,0.191,0.545,neutral,surprise,0.371,0.198,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1674.1697788238525,0.415,0.492,0.64,0.388,1.0,0.194,0.522,neutral,surprise,0.371,0.198,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1719.4533348083496,0.411,0.495,0.666,0.404,1.0,0.182,0.498,neutral,surprise,0.375,0.145,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1842.9419994354248,0.426,0.529,0.666,0.412,1.0,0.21,0.384,neutral,surprise,0.375,0.145,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1870.9571361541748,0.441,0.547,0.666,0.441,1.0,0.305,0.406,neutral,surprise,0.375,0.145,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1898.7312316894531,0.448,0.56,0.686,0.475,1.0,0.402,0.45,neutral,surprise,0.392,0.123,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
2011.2862586975098,0.448,0.559,0.686,0.475,1.0,0.402,0.453,neutral,surprise,0.392,0.123,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
2041.5661334991455,0.458,0.573,0.686,0.493,1.0,0.461,0.454,neutral,surprise,0.392,0.123,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
2073.2505321502686,0.46,0.584,0.71,0.514,1.0,0.501,0.451,neutral,surprise,0.419,0.098,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
2196.0744857788086,0.458,0.568,0.71,0.526,1.0,0.542,0.56,neutral,surprise,0.419,0.098,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
2225.7285118103027,0.463,0.571,0.71,0.538,1.0,0.581,0.586,neutral,surprise,0.419,0.098,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
2254.5998096466064,0.466,0.561,0.659,0.5,1.0,0.565,0.603,neutral,surprise,0.39,0.178,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
2371.882677078247,0.474,0.57,0.659,0.518,1.0,0.625,0.626,neutral,surprise,0.39,0.178,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
2400.817394256592,0.472,0.561,0.659,0.52,1.0,0.632,0.667,neutral,surprise,0.39,0.178,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
2430.6929111480713,0.495,0.577,0.588,0.495,1.0,0.666,0.633,neutral,neutral,0.338,0.267,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
2554.2449951171875,0.497,0.581,0.588,0.499,1.0,0.679,0.628,neutral,neutral,0.338,0.267,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
