timestamp_ms,performance_score,confidence_score,stress_score,engagement_score,posture_score,openness_score,fidget_score,lean,dominant_emotion,face_stress,face_confidence,eye_contact,tone_label,pitch_mean,pitch_variance,energy,speaking_rate,pause_ratio,tone_overall
549.515962600708,0.545,0.743,0.658,0.552,1.0,0.737,0.0,neutral,surprise,0.387,0.178,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
740.1235103607178,0.473,0.529,0.658,0.56,1.0,0.764,0.936,neutral,surprise,0.387,0.178,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
772.9041576385498,0.498,0.588,0.673,0.593,1.0,0.754,0.69,neutral,surprise,0.336,0.09,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
897.8450298309326,0.495,0.587,0.673,0.585,1.0,0.726,0.666,neutral,surprise,0.336,0.09,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
926.3720512390137,0.492,0.589,0.673,0.57,1.0,0.677,0.606,neutral,surprise,0.336,0.09,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
958.0729007720947,0.512,0.605,0.621,0.56,1.0,0.687,0.546,neutral,surprise,0.266,0.122,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1093.8806533813477,0.519,0.616,0.621,0.569,1.0,0.717,0.53,neutral,surprise,0.266,0.122,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1124.9339580535889,0.522,0.626,0.621,0.566,1.0,0.708,0.482,neutral,surprise,0.266,0.122,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1157.5241088867188,0.504,0.609,0.563,0.459,1.0,0.643,0.476,neutral,neutral,0.364,0.362,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1292.6404476165771,0.507,0.616,0.563,0.461,1.0,0.647,0.451,neutral,neutral,0.364,0.362,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1321.9842910766602,0.513,0.616,0.563,0.483,1.0,0.723,0.523,neutral,neutral,0.364,0.362,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1355.309247970581,0.516,0.626,0.574,0.494,1.0,0.758,0.513,neutral,neutral,0.379,0.36,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1482.203722000122,0.518,0.628,0.574,0.498,1.0,0.773,0.517,neutral,neutral,0.379,0.36,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1516.2906646728516,0.517,0.626,0.574,0.495,1.0,0.763,0.516,neutral,neutral,0.379,0.36,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1546.6065406799316,0.517,0.623,0.566,0.491,1.0,0.732,0.498,neutral,neutral,0.359,0.346,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1693.796157836914,0.52,0.63,0.566,0.492,1.0,0.734,0.466,neutral,neutral,0.359,0.346,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1722.2821712493896,0.523,0.635,0.566,0.497,1.0,0.752,0.461,neutral,neutral,0.359,0.346,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1751.173496246338,0.519,0.644,0.584,0.495,1.0,0.77,0.446,neutral,neutral,0.406,0.384,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1880.2917003631592,0.519,0.641,0.584,0.498,1.0,0.779,0.469,neutral,neutral,0.406,0.384,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1913.8116836547852,0.515,0.636,0.584,0.49,1.0,0.754,0.466,neutral,neutral,0.406,0.384,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
1944.779396057129,0.509,0.64,0.609,0.495,1.0,0.786,0.482,neutral,neutral,0.449,0.397,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
2078.562021255493,0.508,0.637,0.609,0.494,1.0,0.783,0.497,neutral,neutral,0.449,0.397,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
2107.489585876465,0.499,0.625,0.609,0.477,1.0,0.729,0.498,neutral,neutral,0.449,0.397,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
2138.493061065674,0.498,0.621,0.626,0.498,1.0,0.734,0.511,neutral,neutral,0.451,0.352,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
2269.26851272583,0.483,0.604,0.626,0.47,1.0,0.641,0.492,neutral,neutral,0.451,0.352,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
2301.0592460632324,0.487,0.604,0.626,0.481,1.0,0.677,0.531,neutral,neutral,0.451,0.352,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
2330.350875854492,0.495,0.612,0.604,0.475,1.0,0.692,0.516,neutral,neutral,0.433,0.38,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
2460.6540203094482,0.49,0.594,0.604,0.477,1.0,0.699,0.609,neutral,neutral,0.433,0.38,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
2490.0383949279785,0.486,0.588,0.604,0.473,1.0,0.684,0.621,neutral,neutral,0.433,0.38,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
2519.510269165039,0.475,0.578,0.649,0.498,1.0,0.687,0.663,neutral,contempt,0.487,0.357,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
2651.951551437378,0.469,0.568,0.649,0.492,1.0,0.667,0.688,neutral,contempt,0.487,0.357,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
2681.833028793335,0.459,0.548,0.649,0.481,1.0,0.632,0.744,neutral,contempt,0.487,0.357,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
2712.1193408966064,0.451,0.541,0.626,0.437,1.0,0.563,0.725,neutral,neutral,0.469,0.39,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
2839.3585681915283,0.467,0.554,0.626,0.473,1.0,0.683,0.782,neutral,neutral,0.469,0.39,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
2871.9265460968018,0.475,0.561,0.626,0.491,1.0,0.743,0.814,neutral,neutral,0.469,0.39,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
2904.323101043701,0.491,0.578,0.611,0.509,1.0,0.83,0.821,neutral,neutral,0.451,0.397,True,unknown,0.0,0.0,0.0,0.0,0.0,0.0
3108.4518432617188,0.48,0.522,0.587,0.508,1.0,0.811,0.851,neutral,neutral,0.451,0.397,True,hesitant,1929.63,595300.98,0.0014,0.1858,0.934,0.363
3142.0559883117676,0.45,0.482,0.587,0.457,1.0,0.643,0.966,neutral,neutral,0.451,0.397,True,hesitant,1929.63,595300.98,0.0014,0.1858,0.934,0.363
3171.475648880005,0.456,0.487,0.58,0.462,1.0,0.656,0.936,neutral,neutral,0.422,0.392,True,hesitant,1929.63,595300.98,0.0014,0.1858,0.934,0.363
3317.2764778137207,0.464,0.5,0.58,0.472,1.0,0.691,0.883,neutral,neutral,0.422,0.392,True,hesitant,1929.63,595300.98,0.0014,0.1858,0.934,0.363
3349.0381240844727,0.465,0.5,0.58,0.477,1.0,0.706,0.894,neutral,neutral,0.422,0.392,True,hesitant,1929.63,595300.98,0.0014,0.1858,0.934,0.363
3380.157709121704,0.466,0.511,0.591,0.481,1.0,0.677,0.784,neutral,neutral,0.459,0.38,True,hesitant,1929.63,595300.98,0.0014,0.1858,0.934,0.363
3512.321949005127,0.458,0.503,0.591,0.462,1.0,0.614,0.779,neutral,neutral,0.459,0.38,True,hesitant,1929.63,595300.98,0.0014,0.1858,0.934,0.363
3542.8967475891113,0.453,0.503,0.591,0.447,1.0,0.562,0.722,neutral,neutral,0.459,0.38,True,hesitant,1929.63,595300.98,0.0014,0.1858,0.934,0.363
3571.57826423645,0.452,0.506,0.593,0.441,1.0,0.543,0.691,neutral,neutral,0.47,0.384,True,hesitant,1929.63,595300.98,0.0014,0.1858,0.934,0.363
3700.496196746826,0.458,0.518,0.593,0.447,1.0,0.564,0.627,neutral,neutral,0.47,0.384,True,hesitant,1929.63,595300.98,0.0014,0.1858,0.934,0.363
3733.2630157470703,0.458,0.518,0.593,0.446,1.0,0.559,0.621,neutral,neutral,0.47,0.384,True,hesitant,1929.63,595300.98,0.0014,0.1858,0.934,0.363
3763.962984085083,0.454,0.521,0.589,0.427,1.0,0.506,0.56,neutral,neutral,0.462,0.401,True,hesitant,1929.63,595300.98,0.0014,0.1858,0.934,0.363
3895.477294921875,0.449,0.517,0.589,0.413,1.0,0.459,0.536,neutral,neutral,0.462,0.401,True,hesitant,1929.63,595300.98,0.0014,0.1858,0.934,0.363
3929.985523223877,0.44,0.505,0.589,0.397,1.0,0.407,0.567,neutral,neutral,0.462,0.401,True,hesitant,1929.63,595300.98,0.0014,0.1858,0.934,0.363
3961.005687713623,0.441,0.504,0.596,0.41,1.0,0.418,0.58,neutral,neutral,0.48,0.386,True,hesitant,1929.63,595300.98,0.0014,0.1858,0.934,0.363
4078.753709793091,0.456,0.523,0.596,0.438,1.0,0.511,0.541,neutral,neutral,0.48,0.386,True,hesitant,1929.63,595300.98,0.0014,0.1858,0.934,0.363
4108.9160442352295,0.466,0.525,0.596,0.469,1.0,0.615,0.627,neutral,neutral,0.48,0.386,True,hesitant,1929.63,595300.98,0.0014,0.1858,0.934,0.363
4142.0722007751465,0.469,0.503,0.622,0.534,1.0,0.534,0.669,neutral,contempt,0.57,0.319,True,hesitant,1929.63,595300.98,0.0014,0.1858,0.934,0.363
4259.273290634155,0.442,0.471,0.622,0.484,1.0,0.366,0.716,neutral,contempt,0.57,0.319,True,hesitant,1929.63,595300.98,0.0014,0.1858,0.934,0.363
4290.641784667969,0.421,0.445,0.622,0.443,1.0,0.23,0.756,neutral,contempt,0.57,0.319,True,hesitant,1929.63,595300.98,0.0014,0.1858,0.934,0.363
4322.278022766113,0.422,0.439,0.618,0.45,1.0,0.193,0.766,neutral,happy,0.554,0.321,True,hesitant,1929.63,595300.98,0.0014,0.1858,0.934,0.363
4452.733039855957,0.416,0.429,0.618,0.439,1.0,0.156,0.795,neutral,happy,0.554,0.321,True,hesitant,1929.63,595300.98,0.0014,0.1858,0.934,0.363
4482.090473175049,0.412,0.423,0.618,0.435,1.0,0.143,0.826,neutral,happy,0.554,0.321,True,hesitant,1929.63,595300.98,0.0014,0.1858,0.934,0.363
4515.567779541016,0.416,0.421,0.609,0.438,1.0,0.143,0.844,neutral,happy,0.517,0.336,True,hesitant,1929.63,595300.98,0.0014,0.1858,0.934,0.363
4647.867202758789,0.416,0.416,0.609,0.445,1.0,0.165,0.903,neutral,happy,0.517,0.336,True,hesitant,1929.63,595300.98,0.0014,0.1858,0.934,0.363
4690.232992172241,0.415,0.409,0.609,0.45,1.0,0.182,0.969,neutral,happy,0.517,0.336,True,hesitant,1929.63,595300.98,0.0014,0.1858,0.934,0.363
4735.691070556641,0.407,0.405,0.634,0.458,1.0,0.222,0.993,neutral,happy,0.499,0.323,True,hesitant,2285.71,0.0,0.0,0.2009,1.0,0.265
4913.196802139282,0.415,0.417,0.634,0.47,1.0,0.262,0.968,neutral,happy,0.499,0.323,True,hesitant,2285.71,0.0,0.0,0.2009,1.0,0.265
4944.108009338379,0.433,0.437,0.634,0.505,1.0,0.378,0.979,neutral,happy,0.499,0.323,True,hesitant,2285.71,0.0,0.0,0.2009,1.0,0.265
4974.029302597046,0.468,0.48,0.624,0.563,1.0,0.584,0.95,neutral,happy,0.464,0.298,True,hesitant,2285.71,0.0,0.0,0.2009,1.0,0.265
5109.292984008789,0.446,0.455,0.624,0.518,1.0,0.433,0.928,neutral,happy,0.464,0.298,True,hesitant,2285.71,0.0,0.0,0.2009,1.0,0.265
5142.213821411133,0.447,0.461,0.624,0.515,1.0,0.424,0.892,neutral,happy,0.464,0.298,True,hesitant,2285.71,0.0,0.0,0.2009,1.0,0.265
5171.903133392334,0.45,0.466,0.624,0.517,1.0,0.43,0.875,neutral,happy,0.468,0.305,True,hesitant,2285.71,0.0,0.0,0.2009,1.0,0.265
5300.243139266968,0.45,0.469,0.624,0.515,1.0,0.424,0.849,neutral,happy,0.468,0.305,True,hesitant,2285.71,0.0,0.0,0.2009,1.0,0.265
5327.996492385864,0.451,0.473,0.624,0.513,1.0,0.416,0.824,neutral,happy,0.468,0.305,True,hesitant,2285.71,0.0,0.0,0.2009,1.0,0.265
5357.718944549561,0.44,0.465,0.631,0.493,1.0,0.346,0.795,neutral,happy,0.483,0.304,True,hesitant,2285.71,0.0,0.0,0.2009,1.0,0.265
5481.8150997161865,0.44,0.468,0.631,0.49,1.0,0.335,0.768,neutral,happy,0.483,0.304,True,hesitant,2285.71,0.0,0.0,0.2009,1.0,0.265
5512.070417404175,0.446,0.478,0.631,0.499,1.0,0.366,0.751,neutral,happy,0.483,0.304,True,hesitant,2285.71,0.0,0.0,0.2009,1.0,0.265
5546.60439491272,0.463,0.503,0.632,0.526,1.0,0.46,0.709,neutral,happy,0.483,0.3,True,hesitant,2285.71,0.0,0.0,0.2009,1.0,0.265
5665.024042129517,0.464,0.501,0.632,0.533,1.0,0.484,0.747,neutral,happy,0.483,0.3,True,hesitant,2285.71,0.0,0.0,0.2009,1.0,0.265
